"Air Quality Statistics by County, 2020",,,,,,,,,,,,
"Note: The values shown are the highest among the sites in each area. Data from exceptional events are included.  This summary is not adequate in itself to numerically rank CBSAs according to their air quality.  The monitoring data represent the quality of air in the vicinity of the monitoring site and, for some pollutants, may not necessarily represent urban-wide air quality.  Based on data from AQS as of May 5, 2021.",,,,,,,,,,,,
State,County,County FIPS Code,2010 Population,CO          8-hr (ppm),Pb           3-mo (µg/m3),NO2         AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10        24-hr (µg/m3) ,PM2.5     Wtd AM (µg/m3) ,PM2.5     24-hr (µg/m3) ,SO2         1-hr (ppb)
Texas,Bowie County,48037,92565,ND,ND,ND,ND,ND,ND,9.4,21,ND
Texas,Brazoria County,48039,313166,ND,ND,5,35,0.07,ND,IN,IN,ND
Texas,Brazos County,48041,194851,ND,ND,ND,ND,ND,ND,8.1,21,ND
Texas,Brewster County,48043,9232,ND,ND,ND,ND,0.06,ND,IN,IN,ND
Texas,Caldwell County,48055,38066,ND,ND,ND,ND,ND,ND,IN,IN,ND
Texas,Cameron County,48061,406220,ND,ND,ND,ND,0.053,ND,12.1,36,ND
Texas,Collin County,48085,782341,ND,0.01,ND,ND,0.07,ND,IN,IN,ND
Texas,Culberson County,48109,2398,ND,ND,ND,ND,0.072,ND,ND,ND,ND
Texas,Dallas County,48113,2368139,1,ND,11,44,0.069,73,8.2,21,IN
Texas,Denton County,48121,662614,ND,ND,5,35,0.071,ND,7.4,20,ND
Texas,Ector County,48135,137130,ND,ND,ND,ND,ND,ND,7.2,20,ND
Texas,Ellis County,48139,149610,ND,ND,3,23,0.061,ND,8.2,19,6
Texas,El Paso County,48141,800647,2,0.01,13,59,0.079,99,9.1,24,7
Texas,Freestone County,48161,19816,ND,ND,ND,ND,ND,ND,ND,ND,5
Texas,Galveston County,48167,291309,ND,ND,3,22,0.068,87,8.3,28,IN
Texas,Gregg County,48183,121730,ND,ND,3,16,0.055,ND,IN,IN,50
Texas,Harris County,48201,4092459,2,ND,16,55,0.073,101,11.6,34,14
Texas,Harrison County,48203,65631,ND,ND,2,14,0.055,ND,8.3,23,33
Texas,Hidalgo County,48215,774769,ND,ND,ND,ND,0.055,82,10.8,33,ND
Texas,Hood County,48221,51182,ND,ND,ND,ND,0.062,ND,ND,ND,ND
Texas,Howard County,48227,35012,ND,ND,ND,ND,ND,ND,ND,ND,101
Texas,Hunt County,48231,86129,ND,ND,3,23,0.061,ND,ND,ND,ND
Texas,Hutchinson County,48233,22150,ND,ND,ND,ND,ND,ND,ND,ND,173
Texas,Jeff Davis County,48243,2342,ND,ND,ND,ND,ND,ND,IN,IN,ND
Texas,Jefferson County,48245,252273,ND,ND,5,29,0.065,ND,8.5,24,47
Texas,Johnson County,48251,150934,ND,ND,ND,ND,0.067,ND,ND,ND,ND
Texas,Karnes County,48255,14824,ND,ND,3,25,ND,ND,ND,ND,ND
Texas,Kaufman County,48257,103350,ND,0.04,3,23,0.066,ND,IN,IN,8
Texas,Kleberg County,48273,32061,ND,ND,ND,ND,ND,ND,10.6,33,ND
Texas,Lubbock County,48303,278831,ND,ND,ND,ND,ND,ND,5.4,15,ND
Texas,McLennan County,48309,234906,0,ND,ND,ND,0.063,ND,IN,IN,6
Texas,Marion County,48315,10546,ND,ND,ND,ND,ND,ND,IN,IN,ND
Texas,Maverick County,48323,54258,ND,ND,ND,ND,ND,ND,7.9,24,ND
Texas,Milam County,48331,24757,ND,ND,ND,ND,ND,ND,ND,ND,IN
Texas,Montgomery County,48339,455746,ND,ND,2,20,0.075,ND,IN,IN,ND
Texas,Navarro County,48349,47735,ND,ND,2,IN,0.062,ND,ND,ND,123
Texas,Nueces County,48355,340223,ND,ND,ND,ND,0.064,84,8,27,3
Texas,Orange County,48361,81837,ND,ND,4,26,0.062,ND,8.7,22,IN
Texas,Parker County,48367,116927,ND,ND,ND,ND,0.068,ND,ND,ND,ND
Texas,Polk County,48373,45413,ND,ND,ND,ND,0.057,ND,ND,ND,ND
Texas,Potter County,48375,121073,ND,ND,ND,ND,ND,ND,5.5,15,94
Texas,Randall County,48381,120725,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Texas,Robertson County,48395,16622,ND,ND,ND,ND,ND,ND,ND,ND,IN
Texas,Rockwall County,48397,78337,ND,ND,ND,ND,0.064,ND,ND,ND,ND
Texas,Rusk County,48401,53330,ND,ND,ND,ND,ND,ND,ND,ND,84
Texas,Smith County,48423,209714,ND,ND,2,12,0.06,ND,ND,ND,ND
Texas,Tarrant County,48439,1809034,1,ND,12,45,0.077,ND,9.8,23,ND
Texas,Titus County,48449,32334,ND,ND,ND,ND,ND,ND,ND,ND,13
Texas,Travis County,48453,1024266,2,ND,12,43,0.063,91,9.5,23,IN
Texas,Victoria County,48469,86793,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Texas,Webb County,48479,250304,2,ND,ND,ND,0.06,72,10.3,28,ND
Texas,Wilson County,48493,42918,ND,ND,4,31,ND,ND,ND,ND,ND
Utah,Box Elder County,49003,49975,ND,ND,1,11,0.066,ND,IN,IN,ND
Utah,Cache County,49005,112656,ND,ND,5,31,0.068,260,8,29,ND
Utah,Carbon County,49007,21403,ND,ND,2,18,0.067,ND,ND,ND,ND
Utah,Davis County,49011,306479,ND,ND,11,44,0.08,IN,7.7,27,ND
Utah,Duchesne County,49013,18607,ND,ND,5,27,0.064,ND,7.5,23,ND
Utah,Garfield County,49017,5172,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Utah,Iron County,49021,46163,ND,ND,6,40,0.061,ND,5.4,17,ND
Utah,Salt Lake County,49035,1029655,1,ND,17,51,0.08,112,10.5,33,5
Utah,San Juan County,49037,14746,ND,ND,ND,ND,0.066,ND,ND,ND,ND
Utah,Tooele County,49045,58218,ND,ND,4,21,0.07,ND,7.1,26,ND
Utah,Uintah County,49047,32588,ND,ND,4,34,0.066,ND,6.6,22,ND
Utah,Utah County,49049,516564,1,ND,10,43,0.07,90,7.9,26,ND
Utah,Washington County,49053,138115,ND,ND,3,30,0.067,ND,5.8,17,ND
Utah,Weber County,49057,231236,1,ND,11,47,0.074,77,6.9,23,ND
Vermont,Addison County,50001,36821,ND,ND,ND,ND,ND,ND,IN,IN,ND
Vermont,Bennington County,50003,37125,ND,ND,ND,ND,0.053,ND,5.6,18,ND
Vermont,Chittenden County,50007,156545,1,ND,5,29,0.056,16,6.8,18,1
Vermont,Rutland County,50021,61642,1,ND,6,32,0.053,29,7.6,22,2
Vermont,Washington County,50023,59534,ND,ND,ND,ND,ND,ND,IN,IN,ND
Virginia,Albemarle County,51003,98970,ND,ND,ND,ND,0.055,ND,6.5,12,ND
Virginia,Arlington County,51013,207627,1,ND,7,38,0.062,ND,6.6,18,ND
Virginia,Botetourt County,51023,33148,ND,ND,ND,ND,ND,ND,ND,ND,IN
Virginia,Caroline County,51033,28545,ND,ND,ND,ND,0.053,ND,ND,ND,ND
Virginia,Carroll County,51035,30042,ND,ND,ND,ND,ND,15,ND,ND,ND
Virginia,Charles City County,51036,7256,ND,ND,3,26,0.054,ND,5.6,12,3
Virginia,Chesterfield County,51041,316236,ND,ND,ND,ND,0.054,ND,5.5,11,ND
Virginia,Fairfax County,51059,1081726,1,ND,14,43,0.057,16,7.9,16,2
Virginia,Fauquier County,51061,65203,ND,ND,ND,ND,0.049,ND,ND,ND,ND
Virginia,Frederick County,51069,78305,ND,ND,ND,ND,0.052,ND,6.6,16,ND
Virginia,Giles County,51071,17286,ND,ND,ND,ND,0.055,ND,ND,ND,144
Virginia,Hanover County,51085,99863,ND,ND,ND,ND,0.053,ND,ND,ND,ND
Virginia,Henrico County,51087,306935,1,ND,5,29,0.055,24,6.9,15,2
Virginia,Loudoun County,51107,312311,ND,ND,5,31,0.06,ND,IN,IN,ND
Virginia,Madison County,51113,13308,ND,ND,ND,ND,0.053,ND,IN,IN,ND
Virginia,Montgomery County,51121,94392,ND,0,ND,ND,ND,ND,ND,ND,ND
Virginia,Page County,51139,24042,ND,ND,ND,ND,ND,ND,IN,IN,ND
Virginia,Prince Edward County,51147,23368,ND,ND,ND,ND,0.051,ND,ND,ND,ND
Virginia,Prince William County,51153,402002,ND,ND,3,21,0.057,ND,ND,ND,ND
Virginia,Roanoke County,51161,92376,1,ND,5,31,0.054,ND,6.7,15,3
Virginia,Rockbridge County,51163,22307,ND,ND,ND,ND,0.051,ND,ND,ND,ND
Virginia,Rockingham County,51165,76314,ND,ND,8,34,0.053,ND,6.1,14,2
Virginia,Stafford County,51179,128961,ND,ND,ND,ND,0.056,16,ND,ND,ND
Virginia,Wythe County,51197,29235,ND,ND,ND,ND,0.054,ND,ND,ND,ND
Virginia,Alexandria city,51510,139966,ND,ND,ND,ND,ND,ND,IN,IN,ND
Virginia,Bristol city,51520,17835,ND,ND,ND,ND,ND,ND,6,14,ND
Virginia,Chesapeake city,51550,222209,ND,ND,ND,ND,ND,ND,IN,IN,ND
Virginia,Covington city,51580,5961,ND,ND,ND,ND,ND,ND,ND,ND,IN
Virginia,Hampton city,51650,137436,1,ND,3,21,0.053,IN,5.9,13,4
Virginia,Hopewell city,51670,22591,ND,ND,ND,ND,ND,15,ND,ND,ND
Virginia,Lynchburg city,51680,75568,ND,ND,ND,ND,ND,ND,5.4,12,ND
Virginia,Newport News city,51700,180719,ND,ND,ND,ND,ND,ND,IN,IN,ND
Virginia,Norfolk city,51710,242803,1,ND,7,35,ND,21,IN,IN,2
Virginia,Richmond city,51760,204214,1,ND,12,41,ND,ND,IN,IN,ND
Virginia,Roanoke city,51770,97032,ND,IN,ND,ND,ND,ND,IN,IN,ND
Virginia,Salem city,51775,24802,ND,ND,ND,ND,ND,ND,5.9,14,ND
Virginia,Suffolk city,51800,84585,ND,ND,ND,ND,0.054,ND,ND,ND,ND
Virginia,Virginia Beach city,51810,437994,ND,ND,ND,ND,ND,ND,IN,IN,ND
Virginia,Winchester city,51840,26203,ND,ND,ND,ND,ND,18,ND,ND,ND
Washington,Adams County,53001,18728,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Asotin County,53003,21623,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Benton County,53005,175177,ND,ND,ND,ND,0.061,566,IN,IN,ND
Washington,Chelan County,53007,72453,ND,ND,ND,ND,ND,ND,IN,IN,2
Washington,Clallam County,53009,71404,2,ND,ND,ND,0.049,ND,IN,IN,1
Washington,Clark County,53011,425363,ND,ND,ND,ND,0.054,ND,13.9,147,ND
Washington,Columbia County,53013,4078,ND,ND,ND,ND,0.035,ND,ND,ND,ND
Washington,Cowlitz County,53015,102410,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Grant County,53025,89120,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Grays Harbor County,53027,72797,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Jefferson County,53031,29872,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,King County,53033,1931249,2,ND,16,57,0.06,38,10.1,61,4
Washington,Kitsap County,53035,251133,ND,ND,ND,ND,ND,ND,7.6,41,ND
Washington,Kittitas County,53037,40915,ND,ND,ND,ND,ND,ND,IN,50,ND
Washington,Lewis County,53041,75455,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Mason County,53045,60699,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Okanogan County,53047,41120,ND,ND,ND,ND,ND,ND,15,83,ND
Washington,Pierce County,53053,795225,ND,ND,12,40,0.06,ND,9.4,41,ND
Washington,Skagit County,53057,116901,ND,ND,ND,ND,0.046,ND,IN,IN,IN
Washington,Skamania County,53059,11066,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Snohomish County,53061,713335,ND,ND,ND,ND,ND,ND,10.6,51,ND
Washington,Spokane County,53063,471221,ND,ND,ND,ND,0.055,343,10.3,31,ND
Washington,Stevens County,53065,43531,ND,ND,ND,ND,ND,358,14.6,66,ND
Washington,Thurston County,53067,252264,ND,ND,ND,ND,0.057,ND,IN,IN,ND
Washington,Walla Walla County,53071,58781,ND,ND,ND,ND,ND,623,IN,IN,ND
Washington,Whatcom County,53073,201140,ND,ND,ND,ND,0.05,ND,5.6,42,62
Washington,Whitman County,53075,44776,ND,ND,ND,ND,ND,ND,IN,IN,ND
Washington,Yakima County,53077,243231,ND,ND,ND,ND,ND,326,14.1,105,ND
West Virginia,Berkeley County,54003,104169,ND,ND,ND,ND,0.055,ND,7.5,23,ND
West Virginia,Brooke County,54009,24069,ND,ND,ND,ND,ND,37,8.1,18,41
West Virginia,Cabell County,54011,96319,ND,ND,ND,ND,0.058,ND,6.7,14,ND
West Virginia,Gilmer County,54021,8693,ND,ND,ND,ND,0.05,ND,ND,ND,ND
West Virginia,Greenbrier County,54025,35480,ND,ND,ND,ND,0.052,ND,ND,ND,ND
West Virginia,Hancock County,54029,30676,ND,ND,ND,ND,0.066,27,7.1,17,21
West Virginia,Harrison County,54033,69099,ND,ND,ND,ND,ND,ND,6.6,13,ND
West Virginia,Kanawha County,54039,193063,1,ND,ND,ND,0.057,ND,7,14,4
West Virginia,Marion County,54049,56418,ND,ND,ND,ND,ND,ND,IN,IN,ND
West Virginia,Marshall County,54051,33107,ND,ND,ND,ND,ND,ND,7.6,16,9
West Virginia,Mason County,54053,27324,ND,ND,ND,ND,ND,ND,ND,ND,55
West Virginia,Mercer County,54055,62264,ND,ND,ND,ND,ND,ND,IN,IN,ND
West Virginia,Mineral County,54057,28212,ND,ND,ND,ND,ND,ND,ND,ND,IN
West Virginia,Monongalia County,54061,96189,ND,ND,ND,ND,0.062,ND,6.2,16,10
West Virginia,Ohio County,54069,44443,ND,ND,ND,ND,0.063,ND,6.7,15,ND
West Virginia,Raleigh County,54081,78859,ND,ND,ND,ND,ND,ND,IN,IN,ND
West Virginia,Summers County,54089,13927,ND,ND,ND,ND,ND,ND,IN,IN,ND
West Virginia,Tucker County,54093,7141,ND,ND,ND,ND,0.054,ND,ND,ND,ND
West Virginia,Wood County,54107,86956,ND,ND,ND,ND,0.058,ND,7,15,19
Wisconsin,Ashland County,55003,16157,ND,ND,ND,ND,0.054,ND,5.2,13,ND
Wisconsin,Brown County,55009,248007,ND,ND,ND,ND,0.064,ND,7.3,18,6
Wisconsin,Columbia County,55021,56833,ND,ND,ND,ND,0.071,ND,ND,ND,ND
Wisconsin,Dane County,55025,488073,ND,ND,ND,ND,0.069,33,8,18,2
Wisconsin,Dodge County,55027,88759,0,ND,ND,ND,0.067,51,7.6,18,2
Wisconsin,Door County,55029,27785,ND,ND,ND,ND,0.075,ND,IN,IN,ND
Wisconsin,Douglas County,55031,44159,ND,ND,ND,ND,ND,ND,IN,IN,ND
Wisconsin,Eau Claire County,55035,98736,ND,ND,ND,ND,0.063,47,7.7,17,ND
Wisconsin,Fond du Lac County,55039,101633,ND,ND,ND,ND,0.065,ND,ND,ND,ND
Wisconsin,Forest County,55041,9304,ND,ND,ND,ND,0.061,ND,5.7,14,2
Wisconsin,Grant County,55043,51208,ND,ND,ND,ND,ND,ND,8.2,20,ND
Wisconsin,Jefferson County,55055,83686,ND,ND,ND,ND,0.072,ND,IN,IN,ND
Wisconsin,Kenosha County,55059,166426,ND,ND,IN,IN,0.078,ND,7.1,18,ND
Wisconsin,Kewaunee County,55061,20574,ND,ND,ND,ND,0.063,ND,ND,ND,ND
Wisconsin,La Crosse County,55063,114638,ND,ND,ND,ND,0.061,ND,7.7,18,ND
Wisconsin,Manitowoc County,55071,81442,ND,ND,IN,IN,0.069,ND,IN,IN,ND
Wisconsin,Marathon County,55073,134063,ND,ND,ND,ND,0.055,ND,ND,ND,ND
Wisconsin,Milwaukee County,55079,947735,1,ND,12,40,0.075,46,9,21,2
Wisconsin,Oneida County,55085,35998,ND,ND,ND,ND,ND,ND,ND,ND,IN
Wisconsin,Outagamie County,55087,176695,ND,ND,ND,ND,0.067,ND,7.4,19,67
Wisconsin,Ozaukee County,55089,86395,ND,ND,ND,ND,0.073,ND,6.5,17,ND
Wisconsin,Racine County,55101,195408,ND,ND,ND,ND,0.077,ND,ND,ND,ND
Wisconsin,Rock County,55105,160331,ND,ND,ND,ND,0.07,ND,IN,IN,ND
Wisconsin,St. Croix County,55109,84345,ND,ND,ND,ND,ND,ND,IN,IN,ND
Wisconsin,Sauk County,55111,61976,ND,ND,ND,ND,0.065,44,7.4,17,ND
Wisconsin,Sheboygan County,55117,115507,ND,ND,ND,ND,0.076,ND,ND,ND,ND
Wisconsin,Taylor County,55119,20689,ND,ND,ND,ND,0.057,ND,6.2,15,ND
Wisconsin,Vilas County,55125,21430,ND,ND,ND,ND,0.059,ND,5,13,ND
Wisconsin,Walworth County,55127,102228,ND,ND,ND,ND,0.074,ND,ND,ND,ND
Wisconsin,Waukesha County,55133,389891,ND,ND,ND,ND,0.067,45,8.8,19,ND
Wisconsin,Waupaca County,55135,52410,ND,ND,ND,ND,ND,ND,IN,IN,ND
Wisconsin,Winnebago County,55139,166994,ND,ND,ND,ND,ND,ND,IN,IN,ND
Wisconsin,Wood County,55141,74749,ND,ND,ND,ND,ND,ND,IN,IN,ND
Wyoming,Albany County,56001,36299,ND,ND,ND,ND,0.066,184,6.2,38,ND
Wyoming,Big Horn County,56003,11668,ND,ND,ND,ND,0.058,ND,IN,IN,ND
Wyoming,Campbell County,56005,46133,ND,ND,1,IN,0.062,149,IN,IN,ND
Wyoming,Carbon County,56007,15885,ND,ND,4,28,ND,ND,IN,IN,15
Wyoming,Converse County,56009,13833,0,ND,2,18,0.071,83,IN,IN,IN
Wyoming,Fremont County,56013,40123,ND,ND,1,4,0.067,70,7.3,37,41
Wyoming,Goshen County,56015,13249,ND,ND,ND,ND,ND,ND,IN,IN,ND
Wyoming,Johnson County,56019,8569,ND,ND,1,5,0.064,67,ND,ND,ND
Wyoming,Laramie County,56021,91738,1,ND,3,IN,0.06,127,4.1,31,IN
Wyoming,Lincoln County,56023,18106,ND,ND,ND,ND,ND,91,ND,ND,ND
Wyoming,Natrona County,56025,75450,ND,ND,4,36,0.066,56,4.9,35,12
Wyoming,Park County,56029,28205,ND,ND,ND,ND,ND,54,4.4,35,ND
Wyoming,Platte County,56031,8667,ND,ND,ND,ND,ND,228,ND,ND,ND
Wyoming,Sheridan County,56033,29116,ND,ND,ND,ND,0.059,52,6.4,34,ND
Wyoming,Sublette County,56035,10247,ND,ND,2,17,0.069,63,3.1,18,ND
Wyoming,Sweetwater County,56037,43806,ND,ND,6,37,0.064,301,3.6,16,7
Wyoming,Teton County,56039,21294,1,ND,IN,IN,0.066,34,4.8,49,ND
Wyoming,Uinta County,56041,21118,ND,ND,IN,IN,0.068,47,ND,ND,ND
Wyoming,Weston County,56045,7208,ND,ND,ND,ND,0.066,ND,IN,IN,6
Puerto Rico,"Adjuntas Municipio, Puerto Rico",72001,19483,ND,ND,ND,ND,ND,ND,IN,IN,ND
Puerto Rico,"Arecibo Municipio, Puerto Rico",72013,96440,ND,IN,ND,ND,ND,ND,ND,ND,ND
Puerto Rico,"Bayamón Municipio, Puerto Rico",72021,208116,4,ND,ND,ND,0.037,ND,IN,IN,IN
Puerto Rico,"Caguas Municipio, Puerto Rico",72025,142893,2,ND,IN,IN,ND,ND,IN,IN,ND
Puerto Rico,"Cataño Municipio, Puerto Rico",72033,28140,ND,ND,ND,ND,0.038,161,ND,ND,IN
Puerto Rico,"Fajardo Municipio, Puerto Rico",72053,36993,ND,ND,ND,ND,ND,ND,IN,IN,ND
Puerto Rico,"Guayama Municipio, Puerto Rico",72057,45362,ND,ND,ND,ND,ND,ND,IN,IN,ND
Puerto Rico,"Guayanilla Municipio, Puerto Rico",72059,21581,ND,ND,ND,ND,ND,ND,IN,IN,ND
Puerto Rico,"Guaynabo Municipio, Puerto Rico",72061,97924,IN,ND,IN,IN,ND,ND,IN,IN,ND
Puerto Rico,"Humacao Municipio, Puerto Rico",72069,58466,ND,ND,ND,ND,ND,ND,IN,IN,ND
Puerto Rico,"Juncos Municipio, Puerto Rico",72077,40290,ND,ND,ND,ND,0.07,ND,ND,ND,ND
Puerto Rico,"Lares Municipio, Puerto Rico",72081,30753,ND,ND,ND,ND,ND,ND,IN,IN,ND
Puerto Rico,"Mayagüez Municipio, Puerto Rico",72097,89080,ND,ND,ND,ND,0.03,ND,IN,IN,ND
Puerto Rico,"Ponce Municipio, Puerto Rico",72113,166327,3,ND,ND,ND,ND,99,IN,IN,ND
Puerto Rico,"San Juan Municipio, Puerto Rico",72127,395326,3,ND,ND,ND,ND,ND,IN,IN,ND
,,,,,,,,,,,,
CO -  Second maximum non-overlapping 8-hour concentration (applicable NAAQS is 9 ppm),,,,,,,,,,,,
Pb  -  Maximum rolling 3 month average (applicable NAAQS is 0.15 µg/m3),,,,,,,,,,,,
NO2  (AM) -  Arithmetic mean concentration (applicable NAAQS is 53 ppb),,,,,,,,,,,,
NO2  (1-hr)  -  98th percentile daily maximum 1-hour concentration (applicable NAAQS is 100 ppb),,,,,,,,,,,,
O3  -  Fourth daily maximum 8-hour concentration (applicable NAAQS is 0.070 ppm),,,,,,,,,,,,
PM10  -  Second maximum 24-hour concentration (applicable NAAQS is 150 µg/m3),,,,,,,,,,,,
PM2.5  (Wtd AM)  -  Weighted annual mean concentration (applicable NAAQS is 12 µg/m3),,,,,,,,,,,,
PM2.5  (24-hr)  -  98th percentile 24-hour concentration (applicable NAAQS is 35 µg/m3),,,,,,,,,,,,
SO2  -  99th percentile daily maximum 1-hour concentration (applicable NAAQS is 75 ppb),,,,,,,,,,,,
ND  -  No Data,,,,,,,,,,,,
IN  -  Insufficient data to calculate summary statistic,,,,,,,,,,,,
µg/m3  -  micrograms per cubic meter,,,,,,,,,,,,
ppm  -  parts per million,,,,,,,,,,,,
ppb  -  parts per billion,,,,,,,,,,,,
